科目,章节,题目,答案,知识点
Claude Code,基本命令,/init 命令的作用是什么,扫描项目并自动生成 CLAUDE.md 文件（项目记忆文档）,/init 是进入项目的第一步
Claude Code,基本命令,/help 命令的作用是什么,列出所有可用的斜杠命令,/help 查看完整命令列表
Claude Code,基本命令,/status 命令显示什么信息,显示当前版本、模型、账户、API 连接状态和工具状态,/status 查看环境和连接状态
Claude Code,基本命令,/clear 命令的作用是什么,清空整个对话历史释放全部上下文窗口,/clear = 硬重置，全新开始
Claude Code,基本命令,/compact 命令的作用是什么,压缩当前会话上下文将冗长历史提炼为摘要以释放 token 空间,/compact 保留摘要 /clear 全部清空
Claude Code,基本命令,/copy 命令的作用是什么,将上一次回复复制到系统剪贴板,/copy 快速复制回复内容
Claude Code,模型管理,/model 命令可以切换到哪些模型,Sonnet Opus Haiku 三种,Opus=最强 Sonnet=均衡 Haiku=最快
Claude Code,模型管理,/effort 命令设置什么,推理深度级别 low/medium/high/xhigh/max 五档,effort = 思考深度 从快到慢
Claude Code,模型管理,/fast 模式是什么,低延迟输出模式 使用相同模型但输出速度约 2.5 倍,/fast 速度优先 适合简单任务
Claude Code,模型管理,Claude Opus 4.7 的定位是什么,Anthropic 最强的编码模型 2026 年 4 月发布,Opus 4.7 是最强编码模型 xhigh effort
Claude Code,会话管理,/resume 命令的作用是什么,列出历史会话并选择恢复 从中断处继续,/resume 让长期任务不怕中断
Claude Code,会话管理,/rename 命令的作用是什么,给当前会话命名 方便后续通过 /resume 识别,/rename 方便管理多个会话
Claude Code,会话管理,/rewind 命令的作用是什么,撤销最近的代码更改和/或对话步骤 回到之前的检查点,/rewind 回退到之前的状态
Claude Code,会话管理,/fork 命令的作用是什么,从当前对话位置分叉出一个实验性分支会话 原会话不受影响,/fork = 对话实验分支
Claude Code,会话管理,/export 命令的作用是什么,导出当前对话到文件或剪贴板,/export 保存对话记录
Claude Code,会话管理,按 Ctrl+D 在 Claude Code 中的效果是什么,退出 Claude Code 程序,Ctrl+D = 退出程序
Claude Code,会话管理,/teleport 命令的作用是什么,将 Web/iOS 端的会话拉到终端继续,/teleport 跨设备迁移会话
Claude Code,会话管理,claude -c 参数的作用是什么,继续最近一次会话 continue 自动恢复上次中断的对话,claude -c 最快恢复上次会话
Claude Code,CLI 参数,claude -p "prompt" 中 -p 的含义是什么,print mode 非交互式单次查询 输出结果后退出,claude -p 用于脚本和 CI
Claude Code,CLI 参数,claude --resume <id> 的作用是什么,恢复指定 ID 的历史会话,--resume 精确恢复某个会话
Claude Code,CLI 参数,claude --from-pr <#> 的作用是什么,从指定 PR 的上下文恢复会话,--from-pr 从 PR 继续工作
Claude Code,CLI 参数,claude --bare 参数的作用是什么,跳过 hooks/skills/plugins/MCP 自动发现 加速启动,--bare 极简启动用于 CI
Claude Code,CLI 参数,claude --allowedTools 的作用是什么,预先授权特定工具 如 --allowedTools "Bash Read Edit",--allowedTools 减少权限提示
Claude Code,CLI 参数,claude --permission-mode acceptEdits 的作用是什么,自动批准编辑类和常见文件系统操作,acceptEdits 自动批准写操作
Claude Code,CLI 参数,claude --output-format json 的作用是什么,以结构化 JSON 格式输出结果 适合程序解析,--output-format 用于程序化调用
Claude Code,CLI 参数,claude --verbose 的作用是什么,输出详细的执行日志 用于调试,--verbose 查看详细执行过程
Claude Code,CLI 参数,claude -w "task" 的作用是什么,创建隔离的 git worktree 安全实验,-w 在隔离环境中安全试验
Claude Code,交互技巧,输入 @ + 文件路径的作用是什么,触发文件自动补全 将指定文件作为上下文引用,@符号是最常用的文件引用方式
