科目,章节,题目,答案,知识点
常用命令,文件导航,ls 命令的作用是什么,列出当前目录下的文件和目录,ls = list 最常用的查看命令
常用命令,文件导航,ls -la 各选项什么意思,-l 详细格式 -a 显示隐藏文件 合起来显示全部文件的详细信息,ls -la 最常用的组合
常用命令,文件导航,ls -lh 中 -h 的作用是什么,human-readable 以人类可读格式显示文件大小 K M G,加 -h 大小不用自己换算
常用命令,文件导航,cd 命令的作用是什么,切换当前工作目录 change directory,cd = 切换目录
常用命令,文件导航,cd .. 的作用是什么,回到上一级目录,.. 代表父目录
常用命令,文件导航,cd ~ 或 cd 的作用是什么,回到当前用户的家目录,~ = home 目录
常用命令,文件导航,cd - 的作用是什么,切换到上一次所在的目录,cd - = 在两个目录间切换
常用命令,文件导航,pwd 命令的作用是什么,打印当前工作目录的完整路径 print working directory,pwd 确认你在哪里
常用命令,文件导航,which 命令的作用是什么,查找可执行命令的完整路径 如 which python3,which 找到命令在哪
常用命令,文件导航,whereis 命令的作用是什么,查找命令的二进制文件源代码和手册页的路径,whereis 比 which 更全
常用命令,文件操作,cp 命令的作用是什么,复制文件或目录 cp -r 递归复制整个目录,cp = copy -r 复制目录
常用命令,文件操作,mv 命令的作用是什么,移动文件或目录 也用于重命名 mv old.txt new.txt,mv = move 也是改名命令
常用命令,文件操作,rm 命令的作用是什么,删除文件 rm -r 删除目录 rm -rf 递归强制删除 需格外谨慎,rm -rf 非常危险删前确认
常用命令,文件操作,touch 命令的作用是什么,创建空文件或更新已有文件的时间戳,touch 新建文件或更新时间
常用命令,文件操作,mkdir 命令的作用是什么,创建目录 mkdir -p parent/child 递归创建多级目录,mkdir = make directory
常用命令,文件操作,rmdir 命令的作用是什么,删除空目录 非空目录用 rm -r,rmdir 只删空目录
常用命令,文件操作,ln -s target linkname 的作用是什么,创建符号链接 软链接 类似 Windows 的快捷方式,ln -s = 创建软链接
常用命令,文件操作,cp -a 和 cp -r 有什么区别,-a 保留权限 时间戳 软链接等属性 -r 只递归复制,-a 完整保留文件属性
常用命令,压缩解压,tar -czf archive.tar.gz dir/ 的作用是什么,将 dir 目录打包并 gzip 压缩为 archive.tar.gz,tar 打包 c=创建 z=gzip f=文件
常用命令,压缩解压,tar -xzf archive.tar.gz 的作用是什么,解压并解包 .tar.gz 文件 x=extract 提取,x=解包 z=gzip f=文件
