科目,章节,题目,答案
地理,地图三要素,1.地图三要素：_________、_________、_________。,比例尺；图例和注记；方向
地理,地图三要素,2.在地图上判别方向：没有指向标的情况下，面对地图，通常采用“________有指向标的地图根据________来确定方向，指向标的箭头默认指向________方。,上北下南左西右东”；指向标；北
地理,地图三要素,3.在天气________的夜空，才能看见北极星。面对北极星的方向是正北方。,晴朗
地理,地图三要素,4.比例尺=________÷________(换算时，注意单位保持一致),图上距离；实际距离
地理,地图三要素,5.比例尺的三种表示方式：________式、________式、________式。,数字；文字式、线段
地理,地图三要素,"6.图幅相等的情况下，表示的范围越小，比例尺越________内容越________;表示的范围越大，比例尺越________,内容越","大,；详细；小"
地理,地图三要素,7.地图可分为________地图(如地形图、气候图、水文图等)和________地图(如工业图、农业图、人口分布图等)。,自然；社会经济
地理,地图三要素,8.查找国家、城市要选择________图，到陌生地探亲、旅游要选择________图。,政区；交通
地理,地图三要素,9.________具有快速获取地理信息的优点，广泛用于定位、导航、个人出行。,电子地图
地理,地球和地球仪,1.________率船队环球航行以及地球卫星照片等事例，证明地球的形状是,麦哲伦
地理,地球和地球仪,"2.地球是一个两极________,赤道________的不规则________。赤道半径________极半径。",稍扁；略鼓；球体；大于
地理,地球和地球仪,3.地球的平均半径约为________千米，赤道周长约为________千米，表面积约为________千米2。,6371；4万；5.1亿
地理,地球和地球仪,4.________是根据地球的形状，按照一定的比例缩小，制成的地球模型。,地球仪
地理,地球和地球仪,"5.________是指从地球内部穿过________的________,是地球的自转轴，实际上并不存在。",地轴；地心；假想轴
地理,地球和地球仪,6.地轴与地球表面有两个交点，叫________。________是地球的最北端，________是地球的最南端。,两极；北极；南极
地理,地球和地球仪,7.地球仪表面，与________垂直并________的圆圈叫________。纬线中________最长。,地轴；围绕地球一周；纬线圈；赤道
地理,地球和地球仪,8.在地球仪表面，连接________并垂直于纬线的________叫________。经线的长度都________。经度之和为________的两条相对的经线组成一个经线圈。,南北两极；半圆；经线；相等；180
地理,地球和地球仪,9.________是0°纬线。0°经线又叫________线。,赤道；本初子午
地理,地球和地球仪,10.北纬度数值越向_________越大，南纬度数值越向________越大。东经度数值越向________越大，西经度数值越向________越大(”北增北纬，东增东经”)。,北；南；东；西
地理,地球和地球仪,"11.用东西南北的英文首字母大写表示经纬度，字母要写在度数的后面，东经________,西经是________,南纬是________,北纬是________。为高纬度地区。",是E；W1；S；N
地理,地球和地球仪,13.半球分界线：________为南北半球的分界线。________和________组成的经线圈为东西半球的分界线。,赤道；20°W；160°E
地理,地球的运动,"1.地球的运动包括________和________,两者是________进行的。",自转；公转；同时
地理,地球的运动,"2.地球自转是地球绕________不停地旋转，方向是________,周期是_______",地轴；自西向东；24小时
地理,地球的运动,"3.地球公转是地球绕________不停地旋转，方向是________,周期是_______",太阳；自西向东；365天
地理,地球的运动,4.从北极上空观察，地球呈________时针向旋转；从南极上空观察，地球呈________时针方向旋转。,逆；顺
地理,地球的运动,5.地球自转产生的地理现象：昼夜________、日月星辰(包括太阳)的_________、时间差异(________早________晚)等。,交替；东升西落；东；西
地理,地球的运动,6.地球公转产生的地理现象：________冷暖差异、昼夜________变化、_________的形成等。,四季；长短；五带
地理,地球的运动,7.赤道平面与地球公转轨道的平面约成________的固定夹角，使得一年内太阳光线的直射点有规律地在________之间移动。,23.5°；南北回归线
地理,地球的运动,8.五带的划分依据：获得太阳光热的多少、是否有_______、是否有_______现象。,太阳直射；极昼极夜
地理,地球的运动,"9.地球上的五带是________带(________太阳直射现象，终年________),南、北温带(________太阳直射、________极昼极夜，四季分明),南、北寒带(________极昼极夜)。","热带(有太阳直射现象，终年炎热),南、北温带(无太阳直射、无极昼极夜，四季分明),南、北寒带(有极昼极夜)"
地理,地球的运动,10.判断是否有太阳直射现象，要看纬度是否小于或等于________。判断是否有极昼极夜现象，要看纬度是否大于或等于________。,23.5°；66.5°
地理,地球的运动,"11.热带和北温带的分界线是________,热带和南温带的分界线是________,北温带和北寒带的分界线是________,南温带和南寒带的分界线是________。",北回归线；南回归线；北极圈；南极圈
地理,地球的运动,12.按天文划分四季：北半球春季为3、4、5月。夏季为_________月，得到的太阳光热最多。秋季为9、10、11月。冬季为12、1、2月，得到的太阳光热最________南半球的季节与北半球________。,6、7、8；少；相反
地理,地球的运动,"13.北半球的二分日：春分是________前后，秋分是________前后，春秋分日当天，太阳都直射________,全球昼夜________。",3月21日；9月22日；赤道；等长
地理,地球的运动,"14.北半球的二至日：夏至是________前后，太阳直射________,一年中这一天，北半球昼________夜________冬至是________前后，太阳直射________,一年中这一天，北半球昼________夜________。",6月22日；北回归线；长；短；12月23日；南回归线；短；长
地理,地球的运动,15.一年中，太阳有________次直射赤道，分别是二十四节气中的________和________。居住在南北回归线之间的人们，一年中会经历________次太阳直射。,2；春分；秋分；2
地理,地球的运动,"16.在北半球的________(节气)这一天，太阳能直射到最北的纬线是________,即23.5°N。",夏至；北回归线
地理,地球的运动,17.在北半球的________(节气)这一天，太阳直射到的最南的纬线是南回归线，即23.5°S。,冬至
地理,地球的运动,"18.一年中，北半球白昼最长的这一天是________,白昼最短的这一天是________,全球昼夜等长的是这两天是________和________。",夏至；冬至；春分；秋分
地理,地球的运动,"19.北半球(除热带外)一年中影子最长的一天是________,影子最短是________。",冬至日；夏至日
地理,地球的运动,20.一天中，________(12点)太阳高度角最大，有的地方太阳直射，能达到90度。,正午
地理,地球的运动,21.在________上可能实现“坐地日行八万里”。,赤道
地理,世界的海陆分布,1.人们常用的“________分海洋，________分陆地”来概括海陆面积的比例。,7；3
地理,世界的海陆分布,2.无论哪个半球，都是海洋面积________陆地面积；陆地相对集中在________半球和________半球。,大于；东；北
地理,世界的海陆分布,3.全球共六块大陆，其中，________大陆面积最大，________大陆面积最小。,亚欧；澳大利亚
地理,世界的海陆分布,4.________岛是世界面积最大的岛屿，________半岛是世界面积最大的半岛。,格陵兰；阿拉伯
地理,世界的海陆分布,5.山地海拔在________米以上，坡度较陡；丘陵的海拔在________米和________米之间，地面崎岖不平。,500；200
地理,世界的海陆分布,6.高原海拔在________米以上，中间起伏小，边缘陡峭；平原海拔在________米以下。,500；200
